job_id,Title,Company,Experience,Location,Description,Posted_Date,Skills_Listed,Job_URL,source,date_scraped
Data Analyst Senior II_FedEx,Data Analyst Senior II,FedEx,2 - 5 Years,"Bengaluru, India","Job Description
             Responsible for conducting data analysis to extract actionable insights, exploring datasets to uncover patterns and anomalies, analyzing historical data for trend identification and forecasting, investigating data discrepancies, providing user training and support on data analysis tools, communicating findings through compelling visualizations, supporting data projects, and ensuring data accuracy and integrity.Job PurposeLead and implement advanced analytical process",Posted 16 hours ago,"Teradata, Project Management, Advanced Statistics, Stakeholder Management, Data and Business Analytics, Spotfire, SAS, SQL Server, Big Data, Predictive Modelling, Tableau, Cloud Computing, Powerbi, Azure, Oracle, Python",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Data Analyst_Petrofac,Data Analyst,Petrofac,5 - 7 Years,"Chennai, India","Job Description
             Petrofac is a leading international service provider to the energy industry, with a diverse client portfolio including many of the world's leading energy companies.We design, build, manage, and maintain infrastructure for our clients. We recruit, reward, and develop our people based on merit, regardless of race, nationality, religion, gender, age, sexual orientation, marital status, or disability. We value our people and treat everyone who works for or with Petrofac ",Posted 16 hours ago,"Data Governance Compliance, Learning Administration, HRIS Data Management, Goals Performance Management, Oracle HCM Cloud, workforce analytics, Process Improvement Automation, Data Analysis, Power Bi, Sql, Data Visualization, Excel",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Data Analyst_Tata Consultancy ,Data Analyst,Tata Consultancy Services,5 - 10 Years,"Gurugram, Gurugram, India","Job Description
             Greetings from TATA CONSULTANCY SERVICES!TCS is hiring for Data AnalystLocation: - GurugramExperience Range: - 5 to 10 yearsMust-HaveData AnalyticsVisualization through Power BIPower AutomateAdvanced ExcelVBA skillsThanksAnshika",Posted 17 hours ago,Vba,https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Data Analyst- Senior_FedEx,Data Analyst- Senior,FedEx,2 - 5 Years,"Bengaluru, India","Job Description
             Responsible for conducting data analysis to extract actionable insights, exploring datasets to uncover patterns and anomalies, analyzing historical data for trend identification and forecasting, investigating data discrepancies, providing user training and support on data analysis tools, communicating findings through compelling visualizations, supporting data projects, and ensuring data accuracy and integrity.Grade -T5Please note that the Job will close at 12am on P",Posted 16 hours ago,"Data Analysis, Statistical Knowledge, Data Modeling, Data Visualization",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Data Analyst III_Academic Pres,Data Analyst III,Academic Press Elsevier,3 - 5 Years,"Chennai, India","Job Description
             Data Analyst IIIAbout Our TeamThe Content and Data Analytics team is part of DataOps, which is an integral part of Global Operations at Elsevier. We provide data analysis services, primarily using Databricks, and mostly serve product owners and data scientists of Elsevier's Research Data Platform. Our work contributes to the delivery of leading data analytics products for the world of scientific research, including Scopus and SciVal.About the RoleA Data Analyst III s",Posted 8 hours ago,"snowflake, Pandas, Collibra, Power Bi, Apache Spark, Tableau, Databricks, Python, Sql",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Data Analyst_Madison Logic,Data Analyst,Madison Logic,3 - 5 Years,"Pune, India","Job Description
             Our Blueprint (Company Overview)At Madison Logic, we turn buyer uncertainty into confident action. Using data-driven insights and strategic expertise, we help marketers align every decision-maker, in every buying group, at every stage of the journey. We meet buyers wherever they are, navigating today's non-linear decision paths to keep marketers ahead. By combining data-rich strategy with multi-channel activation, we show B2B marketers and their agency partners not j",Posted 17 hours ago,"snowflake, mySQL, Python, Sql, Domo, AWS",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Corporate Supplier Quality Dat,Corporate Supplier Quality Data Analyst,Zf Friedrich,Fresher,"Pune, India","Job Description
             Job Description :Req ID 90472|Pune, India,ZF India Pvt. Ltd.Job DescriptionAbout the Team:The Corporate Supplier Quality - Governance & Performance team plays a critical role in bringing data together from different data sources, applications, third-party sources to make supplier performance transparent for improvement and to develop supplier quality processes to ensure decision-making across the strategic and operational processes. Focus of these times is digitaliza",Posted 16 hours ago,"Automate, Power Apps, Power Bi, Power Platform",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Global HR Data Analyst I_McCor,Global HR Data Analyst I,McCormick & Company,1 - 3 Years,"Gurugram, Gurugram, India","Job Description
             At McCormick, we bring our passion for flavor to work each day. We encourage growth, respect everyone's contributions and do what's right for our business, our people, our communities and our planet. Join us on our quest to make every meal and moment better.Founded in Baltimore, MD in 1889 in a room and a cellar by 25-year-old Willoughby McCormick with three employees, McCormick is a global leader in flavour. With over 14,000 employees around the world and more than ",Posted 17 hours ago,"data quality checks, HR data management, reconciliation processes, data uploads, Sap Hcm",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Technical Data Analyst_Clearwa,Technical Data Analyst,Clearwater Analytics,5 - 7 Years,"Noida, India","Job Description
             Job Summary: The Technical Data Analyst is responsible for maintaining investment data for clients. This role involves tasks such as analyzing and organizing raw data, building data systems and pipelines, conducting complex data analysis, and presenting information through data visualization techniques. Additionally, the analyst collaborates with clients and project management teams to grasp customer and company needs. This role requires the ability to merge data fro",Posted 17 hours ago,"Investment data, Data warehouse principles, Data cleansing techniques, Nosql, Database Design, Data Integration, Microsoft Office, Data Governance, Data mining, Sql, Data Manipulation",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Senior Data Analyst I_marriott,Senior Data Analyst I,marriott tech accelerator,4 - 6 Years,"Hyderabad, India","Job Description
             About Us:Marriott International Inc., headquartered in Bethesda, Maryland, USA, was founded in May 1927 by J. Willard Marriott and Alice S. Marriott with a modest nine-seat A&W root beer stand. Guided by the family's leadership and core principles, Marriott International today has grown into a global hospitality giant, operating approximately 9,000 properties and over 30 leading brands in more than 140 countries and territories.From such humble beginnings to becoming",Posted 17 hours ago,"Power Apps, Microsoft Power Bi, Microsoft Azure, Python, Sql, Google Cloud, HTML, ELT, Etl",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
