job_id,Title,Company,Experience,Location,Description,Posted_Date,Skills_Listed,Job_URL
021225014173,Data Analyst,Capgemini,4-9 Yrs,"Hybrid - Chennai, Delhi / NCR, Mumbai (All Areas)","Required Skills & Qualifications: . Bachelors degree in Data Science, Statistics, Compu...",3+ weeks ago,"Power Bi, Data Analysis, Data Visualization, Tableau, Data Analytics, SQL, Analytics, Analysis",https://www.naukri.com/job-listings-data-analyst-capgemini-chennai-delhi-ncr-mumbai-all-areas-4-to-9-years-021225014173
200426503595,"Data Steward, Analyst/Associate",Goldman Sachs,0-3 Yrs,Bengaluru,"SKILLS & EXPERIENCE WE ARE LOOKING FOR Relevant experience in data management, sales re...",3+ weeks ago,"Automation, Data management, Wealth management, Analytical, Mutual funds, Reconciliation, Asset management, Macros",https://www.naukri.com/job-listings-data-steward-analyst-associate-goldman-sachs-bengaluru-0-to-3-years-200426503595
221025507695,Data Analyst,Snapdeal,1-6 Yrs,Gurugram,"Providing technical expertise in data storage structures, data mining, and data cleansi...",3+ weeks ago,"master data, python, metadata, data analysis, data analytics, data management, configuration, data mining",https://www.naukri.com/job-listings-data-analyst-jasper-infotech-pvt-ltd-gurugram-1-to-6-years-221025507695
200326006395,Data Analyst,Kiya.ai,3-7 Yrs,"Hybrid - Bengaluru, Mumbai (All Areas)",Must possess the ability to research and resolve issues independently while working acr...,3 days ago,"Power Bi, Data Analysis, Tableau, SQL, Capital Market, Investment Banking, Risk Assessment, Risk",https://www.naukri.com/job-listings-data-analyst-kiya-ai-bengaluru-mumbai-all-areas-3-to-7-years-200326006395
170626037068,Data Analyst (English Required),Peroptyx,0-5 Yrs,Remote,"For thousands of years, maps have provided humans with the knowledge they need to make ...",4 days ago,"Data Analysis, English, Data Analytics, Data Mapping, Analytics, Analysis, Data, Mapping",https://www.naukri.com/job-listings-data-analyst-english-required-peroptyx-delhi-ncr-0-to-5-years-170626037068
100626021161,Data Analyst (English Required),Peroptyx,0-5 Yrs,Remote,"For thousands of years, maps have provided humans with the knowledge they need to make ...",1 week ago,"Data Analysis, English, Data Analytics, Data Mapping, Analytics, Mapping, Analysis, Data",https://www.naukri.com/job-listings-data-analyst-english-required-peroptyx-mumbai-all-areas-0-to-5-years-100626021161
180626040887,Data Analyst,MNC,0-2 Yrs,"Pimpri-Chinchwad, Pune",We are looking for a motivated and detail-oriented Data Analyst (Fresher to 2yr) to joi...,3 days ago,"Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-180626040887
100626038034,Data Analyst,MNC,0-1 Yrs,"Pimpri-Chinchwad, Pune",. Freshers with relevant internships / projects can applyRequired Skills: . SQL (mandat...,1 week ago,"Power Bi, MS Office, SQL, Google Suite, Data Analytics, Large Databases, Google Data Studio, Data Management",https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-1-years-100626038034
070626005868,Data Analyst,MNC,0-2 Yrs,"Pimpri-Chinchwad, Pune",. Freshers with relevant internships / projects can applyRequired Skills: . SQL (mandat...,2 weeks ago,"Power Bi, MS Office, SQL, Google Suite, Data Analytics, Large Databases, Google Data Studio, Data Management",https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-070626005868
190626007028,Data Analyst,Chartered Speed,0-1 Yrs,Ahmedabad(Sanathal),"Job Summary:(Only for Female) We are looking for a Data Analyst to collect, analyze, an...",2 days ago,"Power Bi, Bi, Data Analytics, Data, Analytics, Data analysis",https://www.naukri.com/job-listings-data-analyst-chartered-speed-ahmedabad-0-to-1-years-190626007028
