job_id,Title,Company,Experience,Location,Description,Posted_Date,Skills_Listed,Job_URL,source,date_scraped
khZrqd7CUuhzpSvf+uAg,"LEAD ANALYST, ANALYTICS",Cvent,8 - 12 Yrs,Gurugram,"Overview: Cvent Is A Leading Meetings, Events, And Hospitality Technology Provider With More Than 4,800 Employees And ~22,000 Customers Worldwide, Including 53% Of The Fortune 500. Founded In 1999, Cvent Delivers A Co...",27-07-2026,"Data Analysis Techniques, SQL Proficiency",https://www.timesjobs.com/job-detail/lead-analyst-analytics-cvent-gurugram-8-12-years-jobid-khZrqd7CUuhzpSvf+uAgZw==&source=srp,TimesJobs,2026-07-28
yJru0fYO5mRzpSvf+uAg,Supply Chain Network Analyst,Nvidia,8 - 11 Yrs,United States of America (USA),"For More Than Two Decades, NVIDIA Has Evolved Continuously. We Invented The GPU In 1999, Which Drove The Expansion Of The PC Gaming Market, Reshaped Modern Computer Graphics, And Transformed Parallel Computing. Today,...",27-07-2026,"Supply Chain Analysis, Network Optimization",https://www.timesjobs.com/job-detail/supply-chain-network-analyst-nvidia-united-states-of-america-usa-8-11-years-jobid-yJru0fYO5mRzpSvf+uAgZw==&source=srp,TimesJobs,2026-07-28
Ms7sNrsG0PxzpSvf+uAg,Content Adversarial Red Team Analyst,Google,7 - 10 Yrs,Hyderabad/Secunderabad,"Content Adversarial Red Team Analyst Location: Google, Hyderabad, Telangana, India Experience Level: Mid Minimum Qualifications: Bachelor's Degree Or Equivalent Practical Experience. 7 Years Of Experience In Data Anal...",27-07-2026,"Data Analytics, Trust And Safety",https://www.timesjobs.com/job-detail/content-adversarial-red-team-analyst-google-hyderabadsecunderabad-7-10-years-jobid-Ms7sNrsG0PxzpSvf+uAgZw==&source=srp,TimesJobs,2026-07-28
OZn0ucS2QOpzpSvf+uAg,Career Opportunities: Business System Analyst (49804),Incedo,11 - 12 Yrs,Mexico,"Company Overview Incedo Is A US-based Consulting, Data Science And Technology Services Firm With Over 3000 People Helping Clients From Our Six Offices Across US, Mexico And India. We Help Our Clients Achieve Competiti...",27-07-2026,"Data Wrangling Expertise, Statistical Analysis Techniques",https://www.timesjobs.com/job-detail/career-opportunities-business-system-analyst-49804-incedo-mexico-11-12-years-jobid-OZn0ucS2QOpzpSvf+uAgZw==&source=srp,TimesJobs,2026-07-28
3QR88A8QnaJzpSvf+uAg,Business Analyst | Qube Careers,Qube Cinema,3 - 6 Yrs,Chennai,"Business Analyst Title: Business Analyst Location: Chennai State: Tamil Nadu Experience: 3 - 6 Years Status: Closed Description As A Business Data Analyst, You Will Interpret Data And Help Generate Insights That Conve...",27-07-2026,"Data Analysis Techniques, Database Design Development",https://www.timesjobs.com/job-detail/business-analyst-qube-careers-qube-cinema-chennai-3-6-years-jobid-3QR88A8QnaJzpSvf+uAgZw==&source=srp,TimesJobs,2026-07-28
hOwEUOWPPuJzpSvf+uAg,Career Opportunities: Data Analyst (49605),Incedo,7 - 9 Yrs,Mexico,"Company Overview Incedo Is A US-based Consulting, Data Science And Technology Services Firm With Over 3000 People Helping Clients From Our Six Offices Across US, Mexico And India. We Help Our Clients Achieve Competiti...",27-07-2026,"Data Wrangling, Statistical Analysis",https://www.timesjobs.com/job-detail/career-opportunities-data-analyst-49605-incedo-mexico-7-9-years-jobid-hOwEUOWPPuJzpSvf+uAgZw==&source=srp,TimesJobs,2026-07-28
8SBd484jEv1zpSvf+uAg,Career Opportunities: Data Analyst (49366),Incedo,7 - 9 Yrs,Mexico,"Company Overview Incedo Is A US-based Consulting, Data Science And Technology Services Firm With Over 3000 People Helping Clients From Our Six Offices Across US, Mexico And India. We Help Our Clients Achieve Competiti...",27-07-2026,"Data Wrangling Techniques, Statistical Analysis",https://www.timesjobs.com/job-detail/career-opportunities-data-analyst-49366-incedo-mexico-7-9-years-jobid-8SBd484jEv1zpSvf+uAgZw==&source=srp,TimesJobs,2026-07-28
CeT5OyIHLFVzpSvf+uAg,"Analyst, Content Safety",Google,4 - 7 Yrs,United States of America (USA),"Analyst, Content Safety Location: Austin, TX, USA; Kirkland, WA, USA Experience Level: Mid Job Overview: Mid Experience Driving Progress, Solving Problems, And Mentoring More Junior Team Members; Deeper Expertise And ...",27-07-2026,"Data Analytics, Fraud Investigations",https://www.timesjobs.com/job-detail/analyst-content-safety-google-united-states-of-america-usa-4-7-years-jobid-CeT5OyIHLFVzpSvf+uAgZw==&source=srp,TimesJobs,2026-07-28
67Euzzz8XPdzpSvf+uAg,Collections Analyst,Workday,6 - 9 Yrs,"Other City(s) in New York, Other City(s) in Illinois","Your Work Days Are Brighter Here. We're Obsessed With Making Hard Work Pay Off, For Our People, Our Customers, And The World Around Us. As A Fortune 500 Company And A Leading AI Platform For Managing People, Money, An...",27-07-2026,"Receivables Management, Billing Discrepancy Resolution",https://www.timesjobs.com/job-detail/collections-analyst-workday-other-citys-in-new-york-other-citys-in-illinois-6-9-years-jobid-67Euzzz8XPdzpSvf+uAgZw==&source=srp,TimesJobs,2026-07-28
j03e7O2q8o9zpSvf+uAg,"Financial Analyst, Android",Google,4 - 7 Yrs,United States of America (USA),"Financial Analyst, Android Location: Mountain View, CA, USA Experience Level: Mid Minimum Qualifications Bachelor's Degree In Business, Finance, Economics, Statistics, Or Another Quantitative Field, Or Equivalent Prac...",27-07-2026,"Financial Analysis, Data Manipulation",https://www.timesjobs.com/job-detail/financial-analyst-android-google-united-states-of-america-usa-4-7-years-jobid-j03e7O2q8o9zpSvf+uAgZw==&source=srp,TimesJobs,2026-07-28
